Sl.No, n, c, d, q, Total Flow, Total Utility
1, 100, 20, 20, 100, 96.0, 52.51745651398278
2, 100, 20, 20, 100, 93.0, 45.64917897804889
3, 100, 20, 20, 100, 99.0, 50.11174884846221
4, 100, 20, 20, 100, 94.0, 23.474262439770143
5, 100, 20, 20, 100, 92.0, 46.33865375075068
6, 100, 20, 20, 100, 99.0, 54.17984390939969
7, 100, 20, 20, 100, 92.0, 28.626595862032804
8, 100, 20, 20, 100, 95.0, 33.00283609024351
9, 100, 20, 20, 100, 100.0, 57.78670339144601
10, 100, 20, 20, 100, 99.0, 41.78391038479819
11, 100, 20, 20, 100, 97.0, 57.18590136728228
12, 100, 20, 20, 100, 98.0, 37.28948160301796
13, 100, 20, 20, 100, 95.0, 39.212756428481846
14, 100, 20, 20, 100, 89.0, 28.893130658574595
15, 100, 20, 20, 100, 88.0, 25.190931493202136
16, 100, 20, 20, 100, 91.0, 31.251602512294955
17, 100, 20, 20, 100, 89.0, 37.427012074206054
18, 100, 20, 20, 100, 92.0, 55.809267254273664
19, 100, 20, 20, 100, 98.0, 40.85811350114085
20, 100, 20, 20, 100, 98.0, 38.997949062640025
21, 100, 20, 20, 100, 97.0, 46.1353216872803
22, 100, 20, 20, 100, 99.0, 42.510472621922446
23, 100, 20, 20, 100, 97.0, 45.42686042442798
24, 100, 20, 20, 100, 94.0, 36.72088021347886
25, 100, 20, 20, 100, 96.0, 36.77251334872587
26, 100, 20, 20, 100, 95.0, 37.93201477642886
27, 100, 20, 20, 100, 97.0, 36.28757727071967
28, 100, 20, 20, 100, 95.0, 40.50858858303514
29, 100, 20, 20, 100, 98.0, 50.230203201023386
30, 100, 20, 20, 100, 97.0, 54.86541657940441
31, 100, 20, 20, 100, 99.0, 55.06825092761987
32, 100, 20, 20, 100, 98.0, 51.83306579683676
33, 100, 20, 20, 100, 100.0, 47.67289480902906
34, 100, 20, 20, 100, 88.0, 27.60553778133959
35, 100, 20, 20, 100, 99.0, 47.34963179785307
36, 100, 20, 20, 100, 95.0, 29.72133370235779
37, 100, 20, 20, 100, 98.0, 43.71120934910034
38, 100, 20, 20, 100, 95.0, 41.74232733604068
39, 100, 20, 20, 100, 99.0, 55.62837253554412
40, 100, 20, 20, 100, 98.0, 42.214139080129804
41, 100, 20, 20, 100, 98.0, 50.64683767356827
42, 100, 20, 20, 100, 97.0, 57.38785780729639
43, 100, 20, 20, 100, 86.0, 33.427150319236965
44, 100, 20, 20, 100, 94.0, 45.61526650976683
45, 100, 20, 20, 100, 99.0, 39.73318836734211
46, 100, 20, 20, 100, 87.0, 38.578730328737215
47, 100, 20, 20, 100, 98.0, 49.190124242855525
48, 100, 20, 20, 100, 92.0, 28.521245437424184
49, 100, 20, 20, 100, 97.0, 33.10915450683172
50, 100, 20, 20, 100, 93.0, 30.23116218075141
51, 100, 20, 20, 100, 98.0, 35.099603626945175
52, 100, 20, 20, 100, 97.0, 38.053117457629725
53, 100, 20, 20, 100, 90.0, 35.789467698043346
54, 100, 20, 20, 100, 89.0, 34.7124144474916
55, 100, 20, 20, 100, 93.0, 48.30559621501664
56, 100, 20, 20, 100, 99.0, 52.80399769983909
57, 100, 20, 20, 100, 95.0, 57.304134070779625
58, 100, 20, 20, 100, 96.0, 46.930415962653896
59, 100, 20, 20, 100, 98.0, 47.74009486109807
60, 100, 20, 20, 100, 98.0, 47.81963181315238
61, 100, 20, 20, 100, 96.0, 41.386650477759325
62, 100, 20, 20, 100, 97.0, 43.25999680690144
63, 100, 20, 20, 100, 96.0, 33.103754423759845
64, 100, 20, 20, 100, 87.0, 31.793192814685142
65, 100, 20, 20, 100, 96.0, 44.31454540192697
66, 100, 20, 20, 100, 100.0, 49.66991604182153
67, 100, 20, 20, 100, 95.0, 38.687532282860516
68, 100, 20, 20, 100, 96.0, 49.665159862674734
69, 100, 20, 20, 100, 100.0, 42.979742890667445
70, 100, 20, 20, 100, 96.0, 32.607433355952864
71, 100, 20, 20, 100, 96.0, 55.001343722835834
72, 100, 20, 20, 100, 94.0, 42.86426464136583
73, 100, 20, 20, 100, 84.0, 32.221221469390095
74, 100, 20, 20, 100, 98.0, 57.73307609318542
75, 100, 20, 20, 100, 99.0, 46.659604794876536
76, 100, 20, 20, 100, 97.0, 40.72150272035034
77, 100, 20, 20, 100, 98.0, 45.82502955290841
78, 100, 20, 20, 100, 95.0, 40.05102681127519
79, 100, 20, 20, 100, 96.0, 42.66133412670193
80, 100, 20, 20, 100, 95.0, 32.40538052748064
81, 100, 20, 20, 100, 98.0, 50.58506886599887
82, 100, 20, 20, 100, 95.0, 36.73894274530713
83, 100, 20, 20, 100, 97.0, 35.1053544453112
84, 100, 20, 20, 100, 98.0, 41.30266760297552
85, 100, 20, 20, 100, 91.0, 30.264990660833416
86, 100, 20, 20, 100, 97.0, 53.14923418479032
87, 100, 20, 20, 100, 95.0, 48.7317316169185
88, 100, 20, 20, 100, 91.0, 37.915772345934855
89, 100, 20, 20, 100, 87.0, 32.0796604843169
90, 100, 20, 20, 100, 97.0, 52.57601390533321
91, 100, 20, 20, 100, 94.0, 40.95364477431918
92, 100, 20, 20, 100, 96.0, 37.31569059523073
93, 100, 20, 20, 100, 86.0, 32.12957765179667
94, 100, 20, 20, 100, 97.0, 45.728488607626595
95, 100, 20, 20, 100, 87.0, 27.440900705389698
96, 100, 20, 20, 100, 97.0, 41.78772979807043
97, 100, 20, 20, 100, 99.0, 37.37355656081007
98, 100, 20, 20, 100, 96.0, 30.13572215566287
99, 100, 20, 20, 100, 95.0, 35.23905996415271
100, 100, 20, 20, 100, 99.0, 43.77478363331062
101, 100, 20, 20, 100, 94.0, 37.25035431862914
102, 100, 20, 20, 100, 95.0, 44.41391034099309
103, 100, 20, 20, 100, 97.0, 33.64963672583277
104, 100, 20, 20, 100, 95.0, 44.26639062024454
105, 100, 20, 20, 100, 95.0, 34.39961513428546
106, 100, 20, 20, 100, 89.0, 30.67371168704328
107, 100, 20, 20, 100, 88.0, 22.51110901157707
108, 100, 20, 20, 100, 96.0, 33.36193854699478
109, 100, 20, 20, 100, 95.0, 49.328967954354766
110, 100, 20, 20, 100, 94.0, 47.03050412569686
111, 100, 20, 20, 100, 97.0, 38.156804871501876
112, 100, 20, 20, 100, 97.0, 42.732068096932366
113, 100, 20, 20, 100, 96.0, 45.5288589887071
114, 100, 20, 20, 100, 97.0, 51.5419815561635
115, 100, 20, 20, 100, 93.0, 37.23912267892083
116, 100, 20, 20, 100, 99.0, 46.04432342732427
117, 100, 20, 20, 100, 92.0, 34.221573085705735
118, 100, 20, 20, 100, 96.0, 50.502834497677775
119, 100, 20, 20, 100, 86.0, 27.501248963410504
120, 100, 20, 20, 100, 98.0, 48.18390522042924
121, 100, 20, 20, 100, 91.0, 34.61469556749366
122, 100, 20, 20, 100, 99.0, 29.78408545036882
123, 100, 20, 20, 100, 98.0, 53.94772261237894
124, 100, 20, 20, 100, 93.0, 48.580287913905934
125, 100, 20, 20, 100, 80.0, 26.325575912585627
126, 100, 20, 20, 100, 93.0, 44.878938534003375
127, 100, 20, 20, 100, 98.0, 34.98293891453672
128, 100, 20, 20, 100, 96.0, 51.9939183706174
129, 100, 20, 20, 100, 97.0, 43.497350580129655
130, 100, 20, 20, 100, 94.0, 38.146035944387094
131, 100, 20, 20, 100, 88.0, 30.519894954423357
132, 100, 20, 20, 100, 92.0, 42.46338915863793
133, 100, 20, 20, 100, 93.0, 31.229883632748297
134, 100, 20, 20, 100, 93.0, 44.8734443094533
135, 100, 20, 20, 100, 96.0, 43.5322204226909
136, 100, 20, 20, 100, 92.0, 35.47529818568862
137, 100, 20, 20, 100, 98.0, 38.85469799847881
138, 100, 20, 20, 100, 98.0, 43.2736072448248
139, 100, 20, 20, 100, 94.0, 32.441826460888535
140, 100, 20, 20, 100, 95.0, 37.770029181327914
141, 100, 20, 20, 100, 84.0, 32.403299676878135
142, 100, 20, 20, 100, 99.0, 44.227263227114456
143, 100, 20, 20, 100, 100.0, 56.54680646406205
144, 100, 20, 20, 100, 100.0, 39.08977317046943
145, 100, 20, 20, 100, 96.0, 40.20946496240326
146, 100, 20, 20, 100, 96.0, 47.07377050632966
147, 100, 20, 20, 100, 96.0, 41.563107773277686
148, 100, 20, 20, 100, 96.0, 49.844881212088
149, 100, 20, 20, 100, 93.0, 35.67075276511366
150, 100, 20, 20, 100, 100.0, 53.24149731846859
151, 100, 20, 20, 100, 89.0, 42.05878337830722
152, 100, 20, 20, 100, 95.0, 41.1506478439661
153, 100, 20, 20, 100, 97.0, 41.00170566611725
154, 100, 20, 20, 100, 98.0, 51.36766020299109
155, 100, 20, 20, 100, 90.0, 30.01260055761344
156, 100, 20, 20, 100, 94.0, 34.980471550078285
157, 100, 20, 20, 100, 94.0, 42.53540006017829
158, 100, 20, 20, 100, 90.0, 36.47646037189081
159, 100, 20, 20, 100, 99.0, 47.558372332242975
160, 100, 20, 20, 100, 93.0, 45.83900819431517
161, 100, 20, 20, 100, 89.0, 37.88602732134559
162, 100, 20, 20, 100, 85.0, 28.56801367817976
163, 100, 20, 20, 100, 96.0, 49.14893213572501
164, 100, 20, 20, 100, 100.0, 41.34883146425996
165, 100, 20, 20, 100, 95.0, 33.453596179993426
166, 100, 20, 20, 100, 96.0, 37.673201683563775
167, 100, 20, 20, 100, 93.0, 33.8321769194715
168, 100, 20, 20, 100, 96.0, 37.44554536761445
169, 100, 20, 20, 100, 97.0, 51.13837656641399
170, 100, 20, 20, 100, 94.0, 49.46470049642282
171, 100, 20, 20, 100, 90.0, 35.87754027590872
172, 100, 20, 20, 100, 99.0, 35.08493483184144
173, 100, 20, 20, 100, 96.0, 39.59503543394023
174, 100, 20, 20, 100, 100.0, 53.417230142000946
175, 100, 20, 20, 100, 97.0, 46.96070082407163
176, 100, 20, 20, 100, 96.0, 41.33402074396894
177, 100, 20, 20, 100, 97.0, 49.03486402393406
178, 100, 20, 20, 100, 97.0, 28.47012782261578
179, 100, 20, 20, 100, 100.0, 50.65005290723468
180, 100, 20, 20, 100, 94.0, 53.7536442730032
181, 100, 20, 20, 100, 94.0, 56.68675630876855
182, 100, 20, 20, 100, 94.0, 36.77311609510035
183, 100, 20, 20, 100, 96.0, 37.29896967591566
184, 100, 20, 20, 100, 96.0, 50.31387758472779
185, 100, 20, 20, 100, 90.0, 35.58478182874377
186, 100, 20, 20, 100, 98.0, 37.46762706989914
187, 100, 20, 20, 100, 87.0, 39.394749425425516
188, 100, 20, 20, 100, 98.0, 35.549741541965204
189, 100, 20, 20, 100, 98.0, 48.80665263454535
190, 100, 20, 20, 100, 96.0, 36.02860655271853
191, 100, 20, 20, 100, 96.0, 53.92724953650964
192, 100, 20, 20, 100, 91.0, 27.70089429939122
193, 100, 20, 20, 100, 94.0, 26.314376381117366
194, 100, 20, 20, 100, 95.0, 44.72137442767893
195, 100, 20, 20, 100, 91.0, 48.901121582731236
196, 100, 20, 20, 100, 97.0, 48.582991309870984
197, 100, 20, 20, 100, 85.0, 23.72328876709068
198, 100, 20, 20, 100, 94.0, 35.3845597301828
199, 100, 20, 20, 100, 100.0, 54.86175042414727
200, 100, 20, 20, 100, 98.0, 51.47791461910756
